Game ID,White Rating,Black Rating,Opening ECO,Opening Ply,White Centi-pawn Loss,White's Number of Inaccuracies,White's Number of Mistakes,White's Number of Blunders,Black Centi-pawn Loss,Black's Number of Inaccuracies,Black's Number of Mistakes,Black's Number of Blunders,Match Ranking
EDG0ajBL,1560,1722,C47,8,66,1,0,1,49,0,0,3,
HbJ0PQYs,2301,2188,C77,9,42,2,1,2,11,0,0,0,
F2VmBOlB,2188,2315,D45,13,10,1,0,0,18,1,0,0,
QTMl1WTF,1758,2188,A02,2,41,2,2,1,10,0,0,0,
qdBupeWn,1604,2188,A04,2,18,1,1,0,12,1,0,0,
11qySFcn,1696,1531,C19,13,10,2,0,0,10,1,0,0,
jUlGETnd,1568,1462,C62,6,15,3,0,0,59,3,0,1,
QqEr3Hxf,1560,1437,C70,10,49,2,0,3,97,2,2,2,
WMkOnEGI,1571,1639,C46,6,54,4,0,1,3,0,0,0,
wKlqwVpS,1367,1564,D04,5,55,3,1,0,9,0,0,0,
v9dcVcNh,2004,1859,C45,8,70,8,3,5,89,12,6,3,
MN7fwW91,1967,2007,C45,7,54,1,2,2,87,1,0,5,
kImNL5aw,1606,1457,C40,4,78,3,1,4,54,7,1,1,
Rboj37av,1497,1500,B95,12,79,1,2,3,36,2,1,1,
VMcNRoPC,1505,1389,C00,4,54,3,1,1,94,7,1,2,
aVTvDl7f,1490,1562,A22,6,35,6,2,0,60,5,1,3,
rh3SPH5A,1362,1697,C10,6,90,7,4,2,59,4,4,1,
Q4qUSYkC,1704,1736,B07,6,95,10,2,3,72,3,5,2,
GfJA5iz6,1910,1937,B03,7,40,5,0,1,86,4,0,2,
fJQktt5x,1481,1772,D94,9,54,2,1,1,60,3,0,1,
1UKvI4CE,1760,1606,C62,6,72,5,0,6,44,3,2,2,
spvKBlZY,1446,1353,B06,4,108,9,3,5,80,6,2,5,
bfyAtFnf,1796,1626,C02,7,34,5,1,3,54,3,2,5,
upESQLDU,1639,1637,C00,3,34,2,4,2,34,5,2,2,
knhXT3ov,1387,1883,C25,4,73,2,1,1,12,0,0,0,
jdIm39mU,1927,1553,A40,3,24,3,1,0,71,3,0,3,
JlrARu3Y,1247,1224,C41,4,141,2,2,3,107,4,2,2,
BpqTVHNC,1170,1142,C00,3,206,2,2,5,176,2,2,6,
qS4XoQiA,1669,2070,B30,5,68,2,0,3,21,1,0,1,
WtmRni3O,1562,1511,A00,1,172,3,3,4,217,5,4,4,
ayFWjMqd,1558,1666,B12,5,104,3,2,4,77,5,0,3,
bmgMMnmW,1537,1581,A04,2,54,2,2,2,90,2,1,4,
2gk2i3zC,1451,1443,C57,11,58,5,0,6,77,6,1,5,
nsZCsa4P,1209,1235,A80,3,150,5,0,9,122,6,1,7,
snjW1Yoo,2133,1977,B24,5,27,1,1,1,43,2,1,2,
ZH4hdJ64,2095,1998,C44,7,15,1,0,0,48,4,0,1,
TiZA0G6d,2114,1820,C26,5,55,4,2,2,31,4,0,1,
W17FySfx,2111,1812,B40,6,28,4,0,0,82,5,1,1,
j93gAXYm,2105,1929,C26,5,28,1,1,0,65,2,3,0,
Gg5MOaqu,2118,2038,C26,5,14,2,0,0,35,4,0,1,
rnr6Hmnv,2129,2154,B53,7,30,1,0,1,9,1,0,0,
wD8gORk1,2121,2006,B12,7,17,0,0,0,74,2,1,1,
sboEUHUr,2116,1876,B01,5,11,0,0,0,99,0,2,1,
i7X79G57,2101,2231,B00,3,45,1,1,1,103,1,0,2,
RsoCc6uM,2217,1748,B12,7,5,0,0,0,69,1,1,1,
bvBMUEkr,1738,1701,C24,7,13,1,0,0,35,6,0,1,
nsMMfzKB,1734,1801,C01,5,53,7,2,2,32,7,0,1,
tK1hA0pl,1500,1782,B84,12,39,0,1,0,58,3,2,1,
WgymEIrj,1762,1795,B52,6,159,2,0,5,188,3,1,8,
Z29OtQb3,1316,1293,C50,5,21,1,0,0,57,1,0,1,
EzYwD91h,1498,1500,B02,4,18,1,0,0,140,2,0,1,
xcmkeprh,1443,1457,B50,4,65,4,3,2,30,2,1,2,
x7iCQVjr,1709,1703,B20,3,133,4,0,4,101,1,1,2,
zZkGhCtD,1696,1730,B12,7,78,3,1,5,109,5,1,6,
reN5GiN3,1934,2281,A10,1,7,0,0,0,32,1,1,1,
iWUAfas6,1635,1934,A00,1,63,4,0,1,12,0,0,0,
dg3hRmX8,1934,1632,C00,3,8,0,0,0,51,5,1,0,
GAxF10jr,1738,1934,C48,7,53,1,1,1,3,0,0,0,
peUNpcfR,1484,1934,C78,12,16,2,0,0,8,0,0,0,
zyoSGnAE,2264,2144,B20,3,30,4,1,1,64,3,3,2,
uBBSIokU,1979,2006,B22,8,74,6,2,5,73,5,2,7,
OD2udwxj,2002,1855,A16,10,21,1,0,0,50,5,1,1,
g96FbHMX,2019,2034,A20,2,32,1,0,1,8,0,0,0,
sVhosIOI,2070,2024,B31,6,31,3,1,1,53,4,1,2,
erKcEcyY,2030,1960,A15,2,66,6,0,1,30,2,1,0,
Lxy8yu7z,1324,1212,C40,3,29,5,1,0,75,5,1,2,
lLpOJDPS,1714,1874,D00,3,55,2,1,2,33,3,0,2,
N0ZyRvtx,1787,1296,C00,3,142,2,2,3,229,1,1,5,
pMqdSPvI,1574,1296,B00,5,8,1,0,0,62,3,1,1,
HNSnXQLa,1364,1361,B27,4,17,0,1,0,51,3,1,1,
vqDfmz6Q,2123,2001,A00,1,27,3,1,1,43,6,1,2,
KahvzV5b,1895,1867,C66,8,8,0,0,0,51,3,0,1,
Unwa7d2F,1420,1538,B00,5,49,3,1,1,10,2,0,0,
Cxx0IXtA,1760,1531,B10,3,100,1,0,1,27,2,0,0,
q42MpsBY,1617,1786,D00,2,54,3,2,2,86,6,1,3,
UKIKvk9h,1807,1798,A10,2,17,4,0,0,65,2,1,1,
dR3E6FZt,1639,1807,A20,2,8,0,0,0,49,1,0,1,
3NZeinHd,1630,1723,B90,11,33,7,1,0,10,1,0,0,
gU5sl4eF,1555,1575,D02,3,10,1,0,0,43,3,0,1,
8ph0sqmi,1460,1475,A40,2,28,4,0,0,5,0,0,0,
Rgb3mefM,1477,1496,D20,5,81,2,2,7,100,2,3,7,
bmcbVsiT,1458,1478,B01,2,100,5,1,2,67,5,1,1,
rXyjeXnv,1500,1472,C00,3,82,3,2,2,49,7,0,1,
OReET7lZ,1800,1760,D00,3,47,8,0,3,28,7,0,0,
mo1tenL1,1429,1756,C55,7,58,7,4,2,31,4,2,0,
tNxRAwcM,1447,1753,D00,3,46,2,2,1,16,2,1,0,
pOSphOC7,1744,1679,C41,5,23,0,0,0,71,1,0,2,
MvohEg4I,1728,1861,B30,4,38,1,1,1,43,0,1,2,
FvieiA2P,1570,1722,C44,6,30,8,1,2,17,10,0,0,
sFM8Ki7h,1719,1668,B27,4,47,3,2,2,69,8,2,2,
0rIaPtNf,1691,1708,C46,7,104,2,4,4,72,4,3,2,
enVlh5hi,976,861,A00,1,96,4,2,6,65,1,1,5,
3dZ0uJcz,1559,1230,A01,1,12,0,2,0,35,3,0,2,
A26x92ea,1960,1972,C24,4,78,7,2,3,59,7,4,2,
vevVyhGY,1971,1956,C00,3,73,5,2,1,54,2,2,1,
paGzb221,1944,1948,C22,6,86,2,3,5,100,5,1,7,
AurwCyB6,1189,2122,B06,4,40,3,1,2,57,4,0,4,
qsPgXAjv,2116,1743,A47,4,27,3,0,0,74,3,0,2,
pe6JV1jd,1508,2367,B30,4,68,3,2,2,41,4,1,0,
