,Game ID,White Rating,Black Rating,Average Rating,Opening ECO,# of Opening Ply,White avg Centi-pawn Loss,White # of Inaccuracies,White # of Mistakes,White # of Blunders,Black avg Centi-pawn Loss,Black # of Inaccuracies,Black # of Mistakes,Black # of Blunders
75,eN9EXzc7,1939,1537,1738,D01,5,33,3,1,1,62,4,5,1
76,g4WmfOA5,1122,1912,1517,B06,4,71,7,1,2,40,4,0,1
77,t6TDbLyf,1483,1090,1286,D06,3,20,2,1,0,59,4,1,2
78,SDBbvD32,1306,1287,1296,C42,5,81,6,4,6,64,12,1,5
79,wHBg0ZqJ,1267,1285,1276,C25,3,108,11,3,10,97,7,7,8
80,Z3xV9m2M,1184,1203,1193,C40,4,53,5,2,2,27,1,2,0
81,gnsFj97f,1706,1717,1711,D21,5,28,2,2,0,54,1,4,1
82,5r22GwOb,1746,1680,1713,C62,6,68,6,0,2,33,4,0,1
83,LeYp0A8u,1668,1656,1662,C50,9,64,6,2,2,90,1,2,3
84,h7ZVEuOK,1434,1315,1374,C48,9,103,2,1,4,83,3,2,4
85,h8eWZCCB,1334,1382,1358,B00,4,69,5,1,6,105,6,2,5
86,hIFfykzj,1481,1436,1458,B00,4,56,4,2,2,33,3,3,1
87,A7j8hVWO,1538,1468,1503,C20,3,26,3,1,0,58,3,0,2
88,4D2CFbrj,1469,1486,1477,C46,6,63,2,2,4,99,4,3,5
89,HS06lqdl,1477,1300,1388,C68,7,41,3,1,1,88,2,0,4
90,uj1eyE8Z,1560,1602,1581,C02,9,57,5,2,1,31,6,4,0
91,Wu4AA4X2,1696,1658,1677,B23,4,26,2,1,1,66,3,3,2
92,GtAzBsPs,1452,1558,1505,B20,3,79,2,1,5,110,3,1,6
93,rE0O15ro,1177,1022,1099,C00,3,101,2,0,2,115,3,2,2
94,Ue2L5gMS,1212,1058,1135,C00,3,119,1,0,6,89,3,0,4
95,qTvKUryF,854,895,874,A00,1,217,5,1,9,190,5,3,9
96,OeVlfkvt,1610,1594,1602,B00,5,66,2,0,6,95,7,2,4
97,RaUUN5ZV,1577,1545,1561,D08,4,63,9,3,3,80,10,6,4
98,otJuxaFH,1698,1552,1625,C46,7,39,6,2,1,69,6,3,2
99,uTmpPsBT,1754,1761,1757,A34,3,26,3,1,0,70,3,1,1
100,mytIShBr,1745,1682,1713,A20,2,82,5,1,2,53,5,1,2
101,UCB2EFxO,1750,1595,1672,A15,2,101,3,3,4,66,4,0,2
102,xInrvX4J,1803,1719,1761,D00,3,99,2,0,7,70,2,2,4
103,Z8MdnlH2,2013,1684,1848,A45,2,54,4,4,3,73,6,2,5
104,54IRJUaA,1889,1857,1873,A45,2,31,5,3,3,43,9,4,3
105,cnGxJB7L,2360,1927,2143,B00,4,56,5,1,2,56,4,3,1
106,p84sYjn8,1895,1927,1911,A10,2,5,0,0,0,46,2,0,1
107,FXUxXQHU,1988,1927,1957,D37,7,9,0,0,0,45,2,1,0
108,uB75kISZ,1552,1193,1372,C47,8,48,2,1,0,107,3,1,1
109,flmp87O4,1868,1991,1929,C02,9,5,0,0,0,45,2,1,2
110,syvfkVb9,1977,1919,1948,D04,6,51,2,1,1,18,0,1,0
111,LW1bKFh1,1928,1994,1961,A05,3,38,4,0,2,62,2,1,3
112,4hv32Myp,1602,1994,1798,B20,3,12,2,1,0,37,3,0,2
113,yLM7YeY7,1807,1994,1900,B00,4,10,0,0,0,45,6,1,0
114,8cHJGTsc,1259,1012,1135,C41,4,87,5,2,4,62,2,0,4
115,39ltHTH9,1081,1279,1180,D00,3,24,2,0,0,105,4,1,2
116,N1FATquP,1500,1247,1373,D02,6,20,0,0,0,69,5,0,1
117,EcMVNs7K,1290,1298,1294,C26,5,95,6,1,5,71,6,1,3
118,EInxj6Cy,1340,1240,1290,C00,3,59,5,1,2,35,3,0,1
119,2xtyoBYj,1266,1293,1279,C46,6,100,3,1,3,148,0,4,3
120,1ZwQVgdl,2089,2089,2089,B27,8,40,8,5,2,37,5,5,4
121,UhqRxZhN,2058,2019,2038,A00,1,27,8,1,3,26,6,0,4
122,ptbhjlmt,2014,2043,2028,B27,6,26,0,2,0,49,3,3,1
123,BbSWCxIt,2040,2020,2030,E53,12,5,0,0,0,29,3,0,1
124,tFAPtTO8,2017,2008,2012,E68,15,54,5,3,2,31,1,2,0
125,avelaq89,1846,2025,1935,B24,6,12,1,0,0,58,1,0,1
126,HhLhggKY,1884,1859,1871,A04,2,30,5,0,0,73,7,0,2
127,DX7W8grq,1853,1858,1855,B43,9,67,6,4,5,48,2,5,2
128,8VmRnNPA,1842,1884,1863,C00,3,37,1,1,0,65,5,1,1
129,Av30jrCc,1381,1399,1390,B20,2,80,2,3,1,42,4,1,0
130,tqsnFoUl,1401,1798,1599,C00,4,41,4,1,3,29,3,3,1
