Rank,Title,Username,Rating,Score,Performance,Team
167,,aeapmestre,2264,25,2209,
168,,mihaiandrey1999,2038,25,2160,
169,,s_lukas,1967,25,2099,
170,,fr00st,1938,25,2083,
171,,megachess123,2159,25,2028,
172,,chorly,1956,25,2025,
173,,aidinchess2022,2006,25,1979,
174,,Jordan402,2083,25,1913,
175,,Elshan1973,1812,25,1857,
176,,SneakyCoward,1825,25,1853,
177,,Slavik-1991,1863,25,1781,
178,NM,terrapin,2434,24,2286,
179,,DavidR2008,1910,24,2278,
180,,tiger-chess-2008,2185,24,2272,
181,,medo_10803,1973,24,2223,
182,,legendaryfatguy,2153,24,2218,
183,,King916,1959,24,2136,
184,,Gren_Bear,2069,24,2135,
185,,careless_whisper,2032,24,2033,
186,,Busel,1985,24,2027,
187,,Emmanuel9706,1922,24,2001,
188,,Ayan12,1914,24,1984,
189,,tester1986,1890,24,1967,
190,,lisacek,1787,24,1931,
191,,roman-31,2103,24,1926,
192,,Yunusxon,1877,24,1917,
193,,Meloch1,1973,24,1896,
194,,Almero,1587,24,1615,
195,,Mr_King_Sashka2010,2392,23,2356,
196,,FuturoMestre2700,2113,23,2333,
197,,ClubParqueRivadavia,2250,23,2243,
198,,nicholaipushkin,2072,23,2169,
199,,Olah_Maurice,1396,23,1975,
200,,Tipsntaps,1994,23,1974,
201,,Liza8liza,1667,23,1932,
202,,Dawista77,1959,23,1917,
203,,Damaso,1506,23,1915,
204,,edilbertohernandez,1867,23,1907,
205,,Ricar123,1721,23,1765,
206,,A19x19A,1740,23,1734,
207,,Cesy2424,1701,23,1598,
208,IM,playRapidNotBlitz,2730,22,2489,
209,,anselm_allrich,2382,22,2320,
210,,DvaMetraShahmatista,2332,22,2245,
211,,NS1974,2241,22,2235,
212,,haring,2114,22,2179,
213,,zazafazaza19901990,2042,22,2167,
214,,mago_pol,2334,22,2132,
215,,Whototearup,2167,22,2127,
216,,Schalkeschorsch,2004,22,2105,
217,,lchipl,2001,22,2083,
218,,Riziky,1810,22,2074,
219,,TheBeeNation,2168,22,2072,
220,,jmolpindo,1924,22,2060,
221,,Alexandergaxc,1874,22,2056,
222,,CaptainGilles971,1938,22,2050,
223,,kantouh,2036,22,2047,
224,,sonirm,2063,22,2044,
225,,kasraaz,1725,22,2040,
226,,sultanrumon,2033,22,2017,
227,,Mirko1956,2146,22,2017,
228,,elmasgrande,2303,22,1998,
229,,Ozzy64,1816,22,1993,
230,,Eusekevin,2074,22,1973,
231,,vhjfvhykhhoryr123456,1960,22,1950,
232,,pineapplebread,1905,22,1948,
233,,NoahMelto,1894,22,1945,
234,,SergVolk75,1885,22,1881,
235,,WORSTPLAYEREVERRR,1908,22,1867,
236,,Flosterhase,1797,22,1820,
237,,ElPana1,1919,22,1794,
238,,TheParmak,1663,22,1728,
239,,glumbergger,2463,21,2409,
240,,VictorPenades,2431,21,2277,
241,,Sal969,2035,21,2259,
242,,Serrafus,1911,21,2198,
243,,mithun,2213,21,2165,
244,,Hunter_hunt,1811,21,2100,
245,,goxzy,1851,21,2074,
246,,The_Proffesor,2203,21,2057,
247,,KingOfCornerCastle,1888,21,2042,
248,,Cristopher1983,1961,21,2027,
249,,MOMo_18,2076,21,2003,
250,,anjumskhan_practice,2125,21,2000,
251,,huddle,1945,21,1994,
252,,khnum,1847,21,1981,
253,,thekhanparvez,1802,21,1881,
254,,ottoplays,1726,21,1847,
255,,SergeyLeontev,1638,21,1824,
256,,Jayhem,1810,21,1821,
257,,andrey63luka,2389,20,2466,
258,FM,Iniciativa,2404,20,2332,
259,,Skakvaks,2506,20,2301,
260,,WookieChess,2149,20,2300,
261,,happyfanatic,2141,20,2273,
262,,aksrihari,1960,20,2239,
263,,Sohamplays1,1965,20,2195,
264,,Doubleforward,1997,20,2172,
265,,Atomic-202,2043,20,2170,
266,,ko4egar6,2046,20,2140,
267,,ECPRO10,2077,20,2123,
268,,SokolKosta,2176,20,2072,
269,,andre002,1972,20,2069,
270,,Alkun57,2107,20,2067,
271,,Myxolov,1666,20,2040,
272,,abood158,2084,20,2035,
273,,YegorKuznetsov-79,2101,20,2007,
274,,piveh,2200,20,2000,
275,,kienchi,2026,20,1988,
276,,RumenAngelov,1801,20,1950,
277,,sr1340,1752,20,1916,
278,,Chamonixx,1891,20,1905,
279,,LazyWarrior,1810,20,1893,
280,,mohamedoubechir,2117,20,1869,
281,,VanaFS,1881,20,1857,
282,,vopaev,1964,20,1851,
283,,Dvyne,1889,20,1827,
284,,Khan96,1860,20,1764,
285,,SI_GALEGALE,2220,19,2239,
286,,Goke09,2116,19,2188,
287,,GoGaGG,2115,19,2134,
288,,freehumanity,2303,19,2124,
289,,DeniSpartak,2101,19,2070,
290,,rjml,2136,19,2031,
291,,Jesus-Is-My-Lord,2048,19,1994,
292,,zlatan2323,2019,19,1990,
293,,danial_br,1927,19,1969,
294,,Zlobniy_Bulbulyator,2114,19,1961,
295,,kampov,2004,19,1959,
296,,Aliiw55,2007,19,1936,
297,,Kahangenc003,1631,19,1933,
298,,LPZ72,1949,19,1927,
299,,Kaya-A,1777,19,1871,
300,,Bravochess,1692,19,1862,
301,,Dennn391,1938,19,1805,
302,,Jayasimha,1873,19,1803,
303,,bolha22,1806,19,1765,
304,,Mohsen_7171,1547,19,1584,
305,,Faith254,2109,18,2254,
306,,terafliu,2104,18,2213,
307,,BrianR,1849,18,2207,
308,,erreyzi,2087,18,2075,
309,,PeriodiCally,2055,18,2061,
310,,vbar,2170,18,2026,
311,,wiebesworks,2008,18,2013,
312,,cpjoseph,1919,18,2010,
313,,I_am_slightly_better,2019,18,1981,
314,,MICHANGELO,1977,18,1949,
315,,NACHO1960,1690,18,1926,
316,,JJOOBBSSYY,1759,18,1898,
317,,commysar,1900,18,1896,
318,,McEdonskiy,1859,18,1846,
319,,Vistet,2063,18,1841,
320,,Grobeiro,1679,18,1835,
321,,Chessdropper,1707,18,1790,
322,,Valehineg,1988,18,1755,
323,,KMW2021,1958,18,1755,
324,,Professor_Chess,1922,18,1753,
325,,Shurik0278ua,1650,18,1753,
326,,F19FF,1964,18,1747,
327,,drdalakas,1695,18,1701,
328,,Dalgarno,1862,18,1701,
329,,Luisjorquera,1652,18,1685,
330,,Mustafatahir38,1530,18,1669,
331,,Luca666,1683,18,1617,
332,,SilverPegasus,2064,17,2304,
333,,Gahool,2169,17,2194,
334,,RoroMarkonah,1943,17,2110,
335,,Illusorio78,2127,17,2085,
336,,Ferjasali,2037,17,2082,
337,,Sangharsh93,2019,17,2069,
338,,Nopsy,2017,17,2030,
339,,pouliasis,2045,17,2013,
340,,anarammar,2093,17,2003,
341,,Aditya270109,1981,17,1989,
342,,mahosnyone,1841,17,1948,
343,,KnightMovezz,2011,17,1912,
344,,bakal3086,1901,17,1835,
345,,ybenkli,1969,17,1822,
346,,Posek1,1832,17,1811,
347,,zibi67,1756,17,1804,
348,,Sapkram,1679,17,1769,
349,,Ijazz,1899,17,1724,
350,,M23451,1650,17,1720,
351,,EdinChampion,2010,17,1704,
352,,Gladiator2004,1773,17,1689,
353,,urranna,1741,17,1630,
354,,s_tamang,1585,17,1615,
355,,ThunderingArrow,2020,16,2466,
356,,Tigr0909,2159,16,2456,
357,,mightysmasher,2144,16,2412,
358,,adamc2005,2404,16,2357,
359,,sanyok911,2246,16,2354,
360,,almarset,2228,16,2343,
361,,davidmark,2106,16,2343,
362,,JokubasVal,2224,16,2320,
363,,kvant16,2309,16,2303,
364,FM,FedaMaster,2545,16,2296,
365,,DwightDANS,2354,16,2288,
366,,Astheria,2045,16,2269,
367,,olhovka26,2044,16,2263,
368,,sergo1604,1901,16,2260,
369,,IliaIvanov,1836,16,2260,
370,,caldillo,2193,16,2221,
371,,Tulko,2118,16,2216,
372,,SilverGomez12,2098,16,2181,
373,,Paizyla_Magomedov,2255,16,2166,
374,,FranBravo2020,1762,16,2166,
375,,ASL1234,1888,16,2151,
376,,randomchampgamer,2350,16,2141,
377,,Rayan_Aghajan,2046,16,2140,
378,,Bangkokdad,2087,16,2135,
379,,Aidas08,2117,16,2099,
380,,Gio_malazonia,1719,16,2087,
381,,EazyEs,1881,16,2085,
382,,izabela94,2165,16,2081,
383,,anatolio,2058,16,2079,
384,,Sadam1991,1961,16,2076,
385,,Yakzon,2127,16,2060,
386,,Mwinindirande,1968,16,2052,
387,,Nikita240211,2141,16,2006,
388,,Amrullahm,2137,16,2000,
389,,evildays,2106,16,1981,
390,,BayShoreMarauder,1952,16,1979,
391,,Surya_2022,2212,16,1968,
392,,xasankulu,2106,16,1954,
393,,JaakkoT,2134,16,1954,
394,,Paraplan-SPb,2040,16,1931,
395,,CHEBYRASHKA17,1882,16,1921,
396,,A_Light_In_The_Attic,1974,16,1906,
397,,Seemann09,1583,16,1863,
398,,Malusare,1825,16,1854,
399,,rrrobert,1722,16,1835,
400,,Errornomics,1751,16,1818,
401,,Aljeda1511,1746,16,1809,
402,,eysone,1804,16,1808,
403,,Emadato,1818,16,1804,
404,,WSPerch,1715,16,1802,
405,,babula,1565,16,1802,
406,,Omario052020,1778,16,1800,
407,,abro-pnda,1772,16,1776,
408,,tasometo,1900,16,1765,
409,,R4kni,1726,16,1741,
410,,Nadegda_constan17659,1898,16,1740,
411,,zgriva,1619,16,1736,
412,,j_jess,1632,16,1729,
413,,hadihariskv,1595,16,1682,
414,,Soikat,1661,16,1671,
415,,rahmatfazeli400,1723,16,1663,
416,,DrPolyphenol,1613,16,1610,
417,,Edvard7171,1645,16,1597,
418,,Smirnov94,1373,16,1573,
419,,SiyahVezir2,1536,16,1568,
420,,cantaloop,1418,16,1564,
421,,Nyekha,2251,15,2234,
422,,kgogo,1981,15,2203,
423,,vaske006,2123,15,2182,
424,,RodNixon,2050,15,2166,
425,,Dauerlaeufer,2031,15,2148,
426,,CampJaguar,2066,15,2113,
427,,PURGAZ,1987,15,2107,
428,,strangler08,2108,15,2083,
429,,detto,1967,15,2055,
430,,Crocodile2010,2104,15,2043,
431,,Kaksoccer,2145,15,2040,
432,,Mangust-Z,1921,15,1974,
433,,MrSchwarz,2266,15,1924,
434,,boringchessgame,2118,15,1910,
435,,pinolew,2058,15,1909,
436,,Bimka,2033,15,1907,
437,,MADLADYMAYBE,1991,15,1905,
438,,Rio5678,1809,15,1890,
439,,Scotch22,2063,15,1889,
440,,CogitoErgoFallo,2001,15,1888,
441,,All_about_sicilian,1812,15,1885,
442,,MeskaLynux,1774,15,1859,
443,,DerGaertnerWars,2025,15,1858,
444,,Nikita797475,1795,15,1853,
445,,EKREM64400,1956,15,1833,
446,,juwwyk,1865,15,1800,
447,,PDLPRADERA,1923,15,1785,
448,,andrew117,1788,15,1707,
449,,artdan21,1554,15,1704,
450,,Sancosa,1661,15,1695,
451,,osoperezoso123,1738,15,1687,
452,,localtraffic,1834,15,1641,
453,,Mustafa461,1519,15,1538,
454,,vfrunz,2296,14,2449,
455,,Ihavenoname,2250,14,2326,
456,,ZdorovEgor2011,2164,14,2311,
457,,Borycki,1666,14,2305,
458,,hONocORokO,2175,14,2232,
459,,dontcheckmatemeeee,2067,14,2225,
460,,AlexRodin,2265,14,2224,
461,,Free-piece2000,2096,14,2188,
462,,Singeor,2345,14,2180,
463,,matatansanti,2244,14,2177,
464,,Garnes26k,2001,14,2126,
465,,lmsems0913,2125,14,2100,
466,,Sleepyzzz03,2183,14,2089,
467,,Nikita13022010Nikita,1764,14,2085,
468,,KeremPul,2090,14,2081,
469,,Kotow,1903,14,2056,
470,,Magnata2016,1755,14,2052,
471,,Maxim86,1940,14,2045,
472,,Pride_Rock,2029,14,2036,
473,,chessmonkey38,2102,14,2034,
474,,Gica505,2358,14,2032,
475,,A62AA,2343,14,2028,
476,,oiuytre,1855,14,2021,
477,,Orohisoua,2080,14,2009,
478,,KapToxa_c_4ecHokom,2045,14,2005,
479,,yg_1,2005,14,1994,
480,,KauanGodoy,1912,14,1993,
481,,BADBOYYYYY,1993,14,1978,
482,,talk2chandran,1581,14,1969,
483,,LukSerre,1894,14,1947,
484,,Takondwa99,1850,14,1931,
485,,Brain-ThilInker,1769,14,1922,
486,,rssylgn_49,2111,14,1911,
487,,El_Conselheiro,1937,14,1891,
488,,bilelmaalaoui333,1790,14,1886,
489,,Khwavesa,1858,14,1880,
490,,mountainflea,1775,14,1876,
491,,WideSpookySpy,1844,14,1873,
492,,Todamont,1965,14,1872,
493,,mrbumba1287,2189,14,1855,
494,,Ducktales201,1818,14,1852,
495,,oim702,1716,14,1834,
496,,Palmaboutros,1815,14,1833,
497,,MaksMBW221,1781,14,1832,
498,,Watch1970,1746,14,1821,
499,,aliumutk,1602,14,1817,
500,,emrhnklc,1797,14,1816,
501,,quackz_2019,1741,14,1805,
502,,Pokser,1802,14,1801,
503,,Kuany8051,1775,14,1792,
504,,GORVOV,2084,14,1790,
505,,f105,1825,14,1769,
506,,Alius777,1745,14,1733,
507,,dimisolo,1768,14,1732,
508,,Dawood10,1822,14,1685,
509,,VIHASJAMITHIREDDY,1448,14,1678,
510,,Artemdongurool,1787,14,1666,
511,,MyLoNiTe,1772,14,1663,
512,,FRANCIVALDEJESUS,1577,14,1581,
